Image,20,40,60,80
Airplane,0.98287,1.00000,0.99006,0.99138
Baboon,0.98283,1.00000,0.99006,0.99136
House,0.98287,1.00000,0.99007,0.99139
Lena,0.98283,1.00000,0.99007,0.99137
Peppers,0.98283,1.00000,0.99007,0.99136
Sailboat,0.98294,1.00000,0.99009,0.99138
Splash,0.98298,1.00000,0.99010,0.99136
Tiffany,0.98294,1.00000,0.99012,0.99139
